"Name (Last, First)",Notes & Questions,HLS Degree(s),Grad Date(s),Position / Role,Bio,Sources,Why Notable?,Why Controversial?,Date Done,Race,Race copy,HLS Yearbook 3L Photograph,Notes (on Photograph),Gender,Party,Country
"Albert, Kendra",,J.D.,2016,Academia / Education,,https://kendraalbert.com,,,,White,White,,,Female,,USA
"Al-Wakeel, Shannon",,J.D.,2010,Public Interest Law / Nonprofit Legal Services,,"https://www.linkedin.com/in/shannon-al-wakeel?challengeId=AQGB9-fwk_eYjAAAAXv69GS89b_5QWqeQQvuVMQD67sRSv4OnPvhZDT44XR0IKiokkd117gjthYVbNxJh6GcJ0w5im-ZnNAN6w&submissionId=4991ab93-030a-a616-cf35-4282883f8a42
https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf",,,,White (Middle-East?),White,,,Female,,USA
"Apter, Rachel Weiner",,J.D.,2007,Government,,"https://whyy.org/articles/murphy-names-former-rbg-clerk-rachel-wainer-apter-to-n-j-supreme-court/
https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf",,,,White,White,,,Female,,USA
"Arnaboldi, Nicole S.",,J.D.,1984,Corporate / Business,,"https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf
https://www.linkedin.com/in/nicole-arnaboldi-317430b",,,,White,White,,,Female,,USA
"Bansal, Preeta D.",,J.D.,1989,"Academia / Education,Government",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Asian,Asian,,,Female,,USA
"Benecke, Michelle ",,J.D.,1992,"Government,Public Interest Law / Nonprofit Legal Services",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Berkovich, Ronit J. ",,J.D.,2001,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Stein, Michael Ashley",,J.D.,1998,Academia / Education,,https://hls.harvard.edu/faculty/directory/11148/Stein/,,,,White,White,,,Male,,USA
"Biber, Kathryn",,J.D.,2004,"Government,Corporate / Business",,"https://en.wikipedia.org/wiki/Kathryn_Biber
https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf",,,,White,White,,,Female,,USA
"Bissoon, Cathy",,J.D.,1993,Judiciary,,"https://en.wikipedia.org/wiki/Cathy_Bissoon
https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf",,,,Hispanic,Hispanic,,,Female,,USA
"Brooks, Royce",,J.D.,2005,Government,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Burke, Molly",,J.D.,1982,"Corporate / Business,Public Interest Law / Nonprofit Legal Services",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Buzicky, Kate",,J.D.,2007,"Government,Military",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Cárdenas, María Alejandra ",,J.D.,2009,Public Interest Law / Nonprofit Legal Services,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Hispanic,Hispanic,,,Female,,"Colombia,USA"
"Carter, Stefani",,J.D.,2005,"Government,Law Firm",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Cendali, Dale M.",,J.D.,1984,Law Firm,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Chadwick, Angela",,J.D.,1992,Judiciary,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Chaney, Joi O. ","Omitted from Celebration 65:  Julie Chiu, Gina Clayton Johnson, Medina Senghore Collie, Jennifer Collins",J.D.,2003,"Government,Public Interest Law / Nonprofit Legal Services",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Christian, Aisha",,J.D.,1998,"Government,Academia / Education,Public Interest Law / Nonprofit Legal Services",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Ching, Ellen",,J.D.,2007,Law Firm,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Asian,Asian,,,Female,,USA
"Clark, Carolyn Cochran",,J.D.,1968,Law Firm,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Clarke, Teresa H.",,J.D. / M.B.A.,1989,"Corporate / Business,Arts / Media / Entertainment",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Coomaraswamy, Radhika",,LL.M.,1982,"Government,International,Activist",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Asian (Sri Lankan),Asian,,,Female,,"Sri Lanka,USA"
"Cordero, Laura A.",,J.D.,1988,Judiciary,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Hispanic,Hispanic,,,Female,,USA
"Crenshaw, Kimberlé Williams",,J.D.,1984,Academia / Education,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Daniels, Jennifer",,J.D.,1988,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"de Alwis, Rangita de Silva",,"LL.M.,S.J.D.",1994/1997,"Academia / Education,Government,International",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Asian ,Asian,,,Female,,USA
"DeParle, Nancy-Ann",,J.D.,1983,"Government,Corporate / Business",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"DeWitt, Dorothy D.",,J.D.,1994,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Dorch, A. Verona",,J.D.,1995,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Duffy, Fernande R.V.",,J.D.,1978,Judiciary,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Edwards, Amanda K.",,J.D.,2007,Government,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Erlog, Jennifer Walker",,J.D.,1992,Judiciary,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Emery, N. Beth",,J.D.,1977,Judiciary,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Feldblum, Chai",,J.D.,1985,Government,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Ferrell, Lisa C.",,J.D.,1990,"Corporate / Business,Government",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Fewell, Kenitra I.",,J.D.,2005,Military,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Frye, Jocelyn C.",,J.D.,1988,"Government,Public Interest Law / Nonprofit Legal Services",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Grant, Jodi",,J.D.,1993,Public Interest Law / Nonprofit Legal Services,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Gray, Danielle C.",,J.D.,2003,"Government,Corporate / Business",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Harold, Erika N.L.",,J.D.,2007,"Corporate / Business,Government",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Harris, Meena",Kamala Harris' niece,J.D.,2012,"Corporate / Business,Public Interest Law / Nonprofit Legal Services",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,"White (Black, Mixed)","White,Black",,,Female,,USA
"Ifill, Michelle C.",,J.D.,1985,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Jean-Pierre, Danièle",,J.D.,1981,Government,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Khan, Irene",,LL.M.,1979,"Government,International",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Klehr, Deborah Gordon",,J.D.,2004,Public Interest Law / Nonprofit Legal Services,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Lapidus, Lenora M.",,J.D.,1990,Public Interest Law / Nonprofit Legal Services,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Mangold, Susan Vivian",,J.D.,1987,Public Interest Law / Nonprofit Legal Services,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"McGowan, Sharon",,J.D.,2000,Public Interest Law / Nonprofit Legal Services,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"McKnight-Chavers, Ginger",,J.D.,1988,Arts / Media / Entertainment,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Mody, Zia",,LL.M.,1979,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Asian ,Asian,,,Female,,India
"Myers, Vernā",,J.D.,1985,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Neuwirth, Jessica",,J.D.,1985,"Public Interest Law / Nonprofit Legal Services,International,Government",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Nix-Hines, Crystal",,J.D.,1990,"Government,Law Firm",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Page, Susan D.",,J.D.,1989,Government,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Parekh, Megha",,J.D.,2009,"Corporate / Business,Arts / Media / Entertainment",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,,,,,Female,,USA
"Prelogar, Elizabeth B.",,J.D.,2008,Government,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Putney, Laura L.",,J.D.,1995,Arts / Media / Entertainment,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Reiss, Rena Hozore",,J.D.,1986,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Romero, Ramona E.",,J.D.,1988,Academia / Education,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Samuelson, Martha",,J.D.,1979,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Saris, Patti B.",,J.D.,1976,Judiciary,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Siegel, Bettina Elias",,J.D.,1991,"Arts / Media / Entertainment,Public Interest Law / Nonprofit Legal Services",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Stanley, Deidre",,J.D.,1989,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Stein, Laura",,J.D.,1987,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Thomsen, Linda Chatman",,J.D.,1979,Government,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Weaver, Amy E.",,J.D.,1995,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
